Date,beta0,beta1,beta2,lambda1
2022-09-08,3.784851478558136,0.01402403238982064,-1.4131553749440913,2.6153946544185613
2022-09-09,3.786251241016352,0.11584503077850733,-1.3970185714430432,2.6153946544185613
2022-09-12,3.8718785678255014,0.06390276924764626,-1.5470255044924541,2.6153946544185613
2022-09-13,3.7756802248846677,0.37769872310604785,-1.332817106332945,2.6153946544185613
2022-09-14,3.730531849576686,0.4983934698643181,-1.3222076422069864,2.6153946544185613
2022-09-15,3.704303470972045,0.5528276695219975,-1.0835761917749345,2.6153946544185613
2022-09-16,3.799509474996995,0.5187244161232465,-1.4619867973952385,2.6153946544185613
2022-09-19,3.7412034664457128,0.631319507904147,-1.207974371854017,2.6153946544185613
2022-09-20,3.834665875446815,0.5416517052720824,-1.1881173407018821,2.6153946544185613
2022-09-21,3.6595280486379727,0.755924244581581,-0.908393389942626,2.6153946544185613
2022-09-22,3.7690256320660436,0.567565800997992,-0.38530850703927527,2.6153946544185613
2022-09-23,3.6912701445055305,0.7530351142425447,-0.29783292691724905,2.6153946544185613
2022-09-26,3.728695787002791,0.6473766477421392,0.4030287858778511,2.6153946544185613
2022-09-27,3.9350022855113256,0.4569764568154581,0.17751028645760702,2.6153946544185613
2022-09-28,3.888083817754782,0.5250615295151633,-0.737522988082379,2.6153946544185613
2022-09-29,3.867496010407063,0.573443515816583,-0.5251911424302365,2.6153946544185613
2022-09-30,3.93858915751977,0.5317643255333363,-0.45783289723255577,2.6153946544185613
2022-10-03,3.9521606092415813,0.6072797682276827,-1.1978514241585658,2.6153946544185613
2022-10-04,3.9443507098207977,0.6658706181063014,-1.4504823016345156,2.6153946544185613
2022-10-05,4.028014699798696,0.5546362564035864,-1.1470901035754186,2.6153946544185613
2022-10-06,4.001069630912215,0.5782711557010408,-0.808340686443739,2.6153946544185613
2022-10-07,4.000891670683151,0.5745503363813215,-0.5170175298776131,2.6153946544185613
2022-10-11,4.12260190863578,0.5173130771906531,-0.8017255087960122,2.6153946544185613
2022-10-12,4.1169710689665555,0.5174091290169948,-0.8707886988359991,2.6153946544185613
2022-10-13,4.166379456205924,0.671699830099441,-0.939601616749595,2.6153946544185613
2022-10-14,4.169216214703859,0.6780171685569906,-0.8240664505083815,2.6153946544185613
2022-10-17,4.240130439509301,0.5733239344434442,-0.9616257142548983,2.6153946544185613
