date,sample,rmse_bp,max_abs_error_bp
2023-01-12,train,2.4305740899271107,4.664291014468391
2023-01-13,train,4.153865685750757,7.614864420174783
2023-01-17,train,2.3604447163858735,4.561855688452621
2023-01-18,train,1.9155627164826983,3.868886931954707
2023-01-19,train,1.6970022505777589,3.5076235482299545
2023-01-20,train,1.9242620185395642,3.8647892411120655
2023-01-23,train,2.2154808763188925,4.282298300802001
2023-01-24,train,1.9173548281235262,3.7906137557575104
2023-01-25,train,1.867096657312576,3.7523498915807973
2023-01-26,train,1.9965173787603456,3.9477120157543233
2023-01-27,train,1.7367210847676253,3.5050612067760056
2023-01-30,train,1.9885382336468729,3.8961477214570994
2023-01-31,train,1.5214356359562389,3.136903856332518
2023-02-01,train,0.8571928395676152,1.9094902443526962
2023-02-02,train,1.0863541480240628,2.410722924016717
2023-02-03,train,2.5380480239007426,4.789419425689978
2023-02-06,train,3.5658869201261627,6.622599717145805
2023-02-07,train,3.996573927710709,7.443481661560236
2023-02-08,train,3.3545563404149457,6.200933691915411
2023-02-09,train,4.099546363482183,7.671896797144218
2023-02-10,train,2.835959404067162,5.299723626225905
2023-02-13,train,3.5715544942973234,6.682317235777502
2023-02-14,train,3.69053938670164,7.041815263310625
2023-02-15,train,1.6003215893496632,2.862952109360606
2023-02-16,train,3.9254772033033585,7.46314159065764
2023-02-17,train,3.626013007578867,6.778384540181248
2023-02-21,train,4.0411475158869195,7.654801377554232
2023-02-22,train,1.7562636311634225,3.2246363709806936
2023-02-23,train,1.6658770114608903,3.0768942572357183
2023-02-24,train,1.5445778467366718,3.280872280789815
2023-02-27,train,1.5636477779967684,3.295537562489237
2023-02-28,train,1.6951136830740363,3.8268081252094355
2023-03-01,train,2.1135991951755995,5.084437168474576
2023-03-02,train,1.6991413015708192,4.056784179784501
2023-03-03,train,1.811345734665811,4.336767693170973
2023-03-06,train,3.0708465157377716,5.961646139477228
2023-03-07,train,2.045485529759814,4.891657287572393
2023-03-08,train,2.407619370004422,5.672920819916527
2023-03-09,train,1.324833796764699,2.8232200954921183
2023-03-10,train,1.4282316170600031,2.476013613045147
2023-03-13,train,1.4351191043408766,2.0465538524239157
2023-03-14,train,0.675326275603856,0.9028353253069277
2023-03-15,train,1.3379804818849717,2.190601545372406
2023-03-16,train,2.157271818397612,4.110068479742113
2023-03-17,train,2.236520039525248,3.520878822871909
2023-03-20,train,1.9301233372028577,2.9724630897256965
2023-03-21,train,0.6880245412865033,0.918911755923979
