Date,beta0,beta1,beta2,beta3,lambda1,lambda2
2025-03-26,5.047713486565013,-0.7898357702721241,-7.81185792411275,6.126406543257402,3.706451383335924,4.337050916282996
2025-03-27,5.062260673625311,-0.8048173314830387,-8.710442681572124,7.061750347220871,3.706451383335924,4.337050916282996
2025-03-28,5.005113048231769,-0.7806577717387824,-8.973965479683459,7.090075795031087,3.706451383335924,4.337050916282996
2025-03-31,4.944252546867454,-0.7263676124400757,-9.010260826014134,7.147491763446756,3.706451383335924,4.337050916282996
2025-04-01,4.8739344353553165,-0.6566568373870589,-9.09281926659266,7.174818444809243,3.706451383335924,4.337050916282996
2025-04-02,4.889111682931288,-0.6389889136719018,-8.90142002846799,7.026512816183719,3.706451383335924,4.337050916282996
2025-04-03,4.902591438466331,-0.6819270489265978,-11.642195082660269,9.185127279349615,3.706451383335924,4.337050916282996
2025-04-04,4.82718040126506,-0.6623828158515273,-10.685800017803246,8.32482526662408,3.706451383335924,4.337050916282996
2025-04-07,4.961035467153744,-0.7925112480311767,-12.01672304546267,9.843645911424277,3.706451383335924,4.337050916282996
2025-04-08,5.010345616295284,-0.8811381444535715,-14.164203980991234,12.303390915710546,3.706451383335924,4.337050916282996
2025-04-09,4.9735709853803325,-0.7060137705485343,-11.737512945040308,10.184252766675666,3.706451383335924,4.337050916282996
2025-04-10,5.159641973350675,-0.9467105586345983,-13.660081206335711,11.927961496108274,3.706451383335924,4.337050916282996
2025-04-11,5.029942352388385,-0.7937272179527639,-12.456811300305489,11.274698952338632,3.706451383335924,4.337050916282996
2025-04-14,5.029825866987752,-0.8052085671432727,-13.928361683586603,12.330156596024658,3.706451383335924,4.337050916282996
2025-04-15,5.038317680323424,-0.7859080874399829,-14.205258748691648,12.432214188301748,3.706451383335924,4.337050916282996
2025-04-16,5.005971822809615,-0.7531896538122933,-15.475978138152067,13.50405729919645,3.706451383335924,4.337050916282996
2025-04-17,5.023708135026634,-0.732535650179138,-16.302316374513687,14.419328300315405,3.706451383335924,4.337050916282996
2025-04-21,5.034042516189857,-0.8064268426759902,-19.047031993461268,17.44457499810495,3.706451383335924,4.337050916282996
2025-04-22,5.050087491344381,-0.782757838669448,-17.466027853496314,15.762808897339399,3.706451383335924,4.337050916282996
2025-04-23,5.015207973763996,-0.7218854235547645,-15.586183956462351,13.922149346303476,3.706451383335924,4.337050916282996
2025-04-24,4.955563499901269,-0.6858996381971014,-16.148460570071283,14.351515608522318,3.706451383335924,4.337050916282996
2025-04-25,4.952867015335325,-0.6836183747193334,-16.147699725295045,14.200142337287266,3.706451383335924,4.337050916282996
2025-04-28,4.863714140373021,-0.6140450490558877,-17.79580594516356,15.829841358791096,3.706451383335924,4.337050916282996
2025-04-29,4.833044090956285,-0.6057615026972605,-17.44537282536889,15.406588333534131,3.706451383335924,4.337050916282996
2025-04-30,4.858309763066156,-0.6453942576337859,-18.917149074406204,16.754889570115896,3.706451383335924,4.337050916282996
2025-05-01,4.946578883345251,-0.6776067487448982,-17.958148985117848,15.844433358522002,3.706451383335924,4.337050916282996
2025-05-02,4.9985909029018565,-0.6730281203978445,-16.441321001806468,14.463659951713197,3.706451383335924,4.337050916282996
2025-05-05,5.02564534516554,-0.6891740045075916,-16.941279669862674,14.985063968472002,3.706451383335924,4.337050916282996
2025-05-06,5.023423735933339,-0.7160815818936428,-17.408475722284074,15.376638642783835,3.706451383335924,4.337050916282996
2025-05-07,5.0047967936208515,-0.666759989921015,-17.226156289955252,15.040814210211812,3.706451383335924,4.337050916282996
2025-05-08,5.060691062439849,-0.7209716110102642,-15.437440151591717,13.566259119213345,3.706451383335924,4.337050916282996
2025-05-09,5.083372181918948,-0.7586906323262141,-15.25684038847818,13.353981818232256,3.706451383335924,4.337050916282996
2025-05-12,5.130532573139744,-0.7658039695145775,-13.858544718523856,12.111536561729027,3.706451383335924,4.337050916282996
2025-05-13,5.103854388892704,-0.6980957274699144,-15.317243368884082,13.698195146324766,3.706451383335924,4.337050916282996
2025-05-14,5.147929480141603,-0.7438179478795164,-14.550987102052447,12.991733445192251,3.706451383335924,4.337050916282996
2025-05-15,5.096586781074359,-0.7024146183494344,-15.834193891246011,14.060828451636905,3.706451383335924,4.337050916282996
2025-05-16,5.047375044325587,-0.6119957910097398,-16.256143405128764,14.475955742439805,3.706451383335924,4.337050916282996
2025-05-19,5.051403179797131,-0.6273054844426811,-17.054447833424465,15.34129174369968,3.706451383335924,4.337050916282996
2025-05-20,5.09472987698245,-0.6580886138186317,-17.755338262345678,15.990114801125781,3.706451383335924,4.337050916282996
2025-05-21,5.1714812965434955,-0.7325111594001426,-18.561119412604334,16.97863658819609,3.706451383335924,4.337050916282996
2025-05-22,5.159015987736579,-0.6818652184997165,-18.885329945899784,17.137375038699073,3.706451383335924,4.337050916282996
2025-05-23,5.190081451306391,-0.6677703599737868,-18.747494455053218,16.770294261915303,3.706451383335924,4.337050916282996
2025-05-27,5.062943435265412,-0.5448061354135294,-18.97536468231819,16.999593647471414,3.706451383335924,4.337050916282996
2025-05-28,5.067929308033436,-0.5273977421629366,-19.153655845376594,17.266720758887498,3.706451383335924,4.337050916282996
2025-05-29,5.061552945311121,-0.5432904142291299,-18.951674631442,16.910918198623932,3.706451383335924,4.337050916282996
2025-05-30,5.088886797773068,-0.5773489681963935,-19.35252778944602,17.180999852958774,3.706451383335924,4.337050916282996
2025-06-02,5.159812749549807,-0.6512193831741826,-19.240033650174922,17.104737875180405,3.706451383335924,4.337050916282996
2025-06-03,5.16138094391917,-0.652590201615532,-18.626182146121916,16.525486433022746,3.706451383335924,4.337050916282996
2025-06-04,5.105628387897099,-0.6388248951624536,-18.453470295031238,16.157731075411508,3.706451383335924,4.337050916282996
2025-06-05,5.094713423881591,-0.6543277086081587,-16.762773306799506,14.690996385372467,3.706451383335924,4.337050916282996
2025-06-06,5.142967978880284,-0.689473659289433,-15.715005930068726,13.971641860153143,3.706451383335924,4.337050916282996
2025-06-09,5.16003876128331,-0.7058805469545679,-15.955946250062883,14.067120417315657,3.706451383335924,4.337050916282996
2025-06-10,5.134696339222753,-0.676920650386966,-15.851176028311441,13.950999674946624,3.706451383335924,4.337050916282996
2025-06-11,5.182148658567342,-0.752627942416054,-15.827278324336174,13.65815887581173,3.706451383335924,4.337050916282996
2025-06-12,5.122761018539687,-0.7190828793503095,-15.415261325642376,13.195785631082348,3.706451383335924,4.337050916282996
2025-06-13,5.163132392227633,-0.7322495287636472,-15.987154794450309,13.85769179771695,3.706451383335924,4.337050916282996
2025-06-16,5.1883265147202975,-0.722585883287373,-16.917625157878728,14.801543535005834,3.706451383335924,4.337050916282996
2025-06-17,5.126987177529906,-0.6500641383637311,-16.698485248559123,14.454682517266976,3.706451383335924,4.337050916282996
2025-06-18,5.107017498400293,-0.6281802784415031,-17.17027970343531,14.954735339526083,3.706451383335924,4.337050916282996
2025-06-20,5.139392188726917,-0.6974923867359806,-17.17791112711385,14.917193952703883,3.706451383335924,4.337050916282996
2025-06-23,5.144125108487275,-0.7336268536705286,-17.642171072553364,15.23711332809034,3.706451383335924,4.337050916282996
2025-06-24,5.094549667242086,-0.6861165071281097,-18.259806203215394,15.80041334568714,3.706451383335924,4.337050916282996
2025-06-25,5.088872182832603,-0.6851183400043843,-18.631496803062664,16.158262603276732,3.706451383335924,4.337050916282996
2025-06-26,5.070365370460225,-0.6934743674613382,-19.31642311345564,16.7855886949399,3.706451383335924,4.337050916282996
2025-06-27,5.092629529829276,-0.701996768448069,-19.27477458263833,16.80564556761253,3.706451383335924,4.337050916282996
2025-06-30,5.050119650853361,-0.6776235833433604,-18.64021853602007,16.087541701762106,3.706451383335924,4.337050916282996
2025-07-01,5.048196833192083,-0.669870827107834,-17.252184288644578,14.821418278848656,3.706451383335924,4.337050916282996
2025-07-02,5.067171295424153,-0.6978722817082075,-17.753796122512387,15.439213866706874,3.706451383335924,4.337050916282996
2025-07-03,5.096226607927418,-0.6129624643785092,-17.648261197240792,15.29871873401994,3.706451383335924,4.337050916282996
2025-07-07,5.142322834529674,-0.6787815292234627,-18.20166826076247,15.929729688672253,3.706451383335924,4.337050916282996
2025-07-08,5.156204440950475,-0.6921605393942671,-18.058082229888043,15.8392874078824,3.706451383335924,4.337050916282996
2025-07-09,5.112451825263272,-0.6693818536638989,-17.893342338919418,15.525456958877687,3.706451383335924,4.337050916282996
2025-07-10,5.100348862661266,-0.6713613888860985,-17.33618704379358,15.050071105875888,3.706451383335924,4.337050916282996
2025-07-11,5.182594128055899,-0.7476175654831572,-17.951800007458406,15.757434912279397,3.706451383335924,4.337050916282996
2025-07-14,5.193108881609565,-0.7593442596569235,-18.164047808429466,15.936940135802972,3.706451383335924,4.337050916282996
2025-07-15,5.1997299771994445,-0.746089563775346,-18.104502576291782,16.073989618260114,3.706451383335924,4.337050916282996
2025-07-16,5.203459103029468,-0.7577814518614412,-19.43717002983999,17.243924781033055,3.706451383335924,4.337050916282996
2025-07-17,5.1838171668785735,-0.7114232982639801,-19.388615464311698,17.243886768658797,3.706451383335924,4.337050916282996
2025-07-18,5.202913776679241,-0.750369581016697,-19.56935671153733,17.276729697670124,3.706451383335924,4.337050916282996
2025-07-21,5.156503742671562,-0.6947956014105741,-19.51163274590425,17.09455905889027,3.706451383335924,4.337050916282996
2025-07-22,5.108609117086005,-0.6480304158499757,-19.869278282984066,17.428839037568373,3.706451383335924,4.337050916282996
2025-07-23,5.188994650857811,-0.7299814478673383,-18.48035866425642,16.077325444018562,3.706451383335924,4.337050916282996
2025-07-24,5.1819408820453114,-0.710920126497645,-18.061083220405635,15.756975214701153,3.706451383335924,4.337050916282996
2025-07-25,5.1533387318971435,-0.6841444035797679,-17.96033418795386,15.614213835453599,3.706451383335924,4.337050916282996
2025-07-28,5.209005235640204,-0.747990360604208,-17.7224439051524,15.372464377471108,3.706451383335924,4.337050916282996
2025-07-29,5.1306166073706,-0.675825659006632,-17.3418852373099,14.862483160093088,3.706451383335924,4.337050916282996
2025-07-30,5.131050542621037,-0.6080917872566389,-17.400867203593346,14.996772073178047,3.706451383335924,4.337050916282996
2025-07-31,5.135242537986222,-0.6071928339646384,-17.203384258213013,14.758409816254451,3.706451383335924,4.337050916282996
2025-08-01,5.164157479644018,-0.8782942396152653,-17.02825571556638,14.33125366470022,3.706451383335924,4.337050916282996
2025-08-04,5.167660608680038,-0.8932532250816216,-17.047251131981298,14.292980242481013,3.706451383335924,4.337050916282996
2025-08-05,5.093161200132768,-0.79274709008032,-17.193999319736,14.583854900919146,3.706451383335924,4.337050916282996
2025-08-06,5.127482078382425,-0.8383496177152647,-17.842227249676007,15.21306750763873,3.706451383335924,4.337050916282996
2025-08-07,5.152688759643381,-0.8547065889615204,-17.023077398396513,14.403096171415623,3.706451383335924,4.337050916282996
2025-08-08,5.218572161817507,-0.9441536331663012,-16.07596692723677,13.511321012045917,3.706451383335924,4.337050916282996
2025-08-11,5.224478410293783,-0.9576865489221857,-15.62516526870357,13.034473629553982,3.706451383335924,4.337050916282996
2025-08-12,5.262687722172987,-1.0295693606135201,-16.227143230042465,13.652293819250104,3.706451383335924,4.337050916282996
2025-08-13,5.206215391339646,-1.0056290584850573,-16.422346196984865,13.808709191322192,3.706451383335924,4.337050916282996
2025-08-14,5.219094067963802,-0.9664957795518754,-16.978444915163394,14.443901607391448,3.706451383335924,4.337050916282996
2025-08-15,5.221607168848142,-0.9360855884002399,-18.006261608703554,15.545595867451313,3.706451383335924,4.337050916282996
2025-08-18,5.226009664328216,-0.9355726649765952,-18.17415203600924,15.732370596946105,3.706451383335924,4.337050916282996
2025-08-19,5.174254585824268,-0.8861138146486676,-18.41678414061506,15.964922703054636,3.706451383335924,4.337050916282996
2025-08-20,5.189165392177772,-0.9052973849456287,-18.248823046405544,15.713848062426123,3.706451383335924,4.337050916282996
2025-08-21,5.212343621909054,-0.8995483721533195,-17.89827988277355,15.436396648561967,3.706451383335924,4.337050916282996
2025-08-22,5.216530771882333,-0.965054760863773,-18.360073545222853,15.681802950308052,3.706451383335924,4.337050916282996
2025-08-25,5.20007224573601,-0.9281432107880336,-18.2847645198219,15.711853450487475,3.706451383335924,4.337050916282996
2025-08-26,5.245425910326021,-0.9901947752375473,-19.084505423322156,16.327363549251118,3.706451383335924,4.337050916282996
2025-08-27,5.2715623774409615,-1.0041328055440752,-19.79605089757851,16.89468155152331,3.706451383335924,4.337050916282996
2025-08-28,5.218029332688811,-0.9291832059940124,-19.66810266569377,16.767291772147235,3.706451383335924,4.337050916282996
2025-08-29,5.298484512152186,-1.042035769391468,-19.662043967102612,16.67405023398989,3.706451383335924,4.337050916282996
2025-09-02,5.330179546959894,-1.0540144950882946,-19.945676999077488,17.056178816315775,3.706451383335924,4.337050916282996
2025-09-03,5.252560109200516,-1.021121872500219,-19.44142236800704,16.568888679506625,3.706451383335924,4.337050916282996
2025-09-04,5.219890687956074,-0.989368549060798,-19.750291259166328,16.780065739683554,3.706451383335924,4.337050916282996
2025-09-05,5.173216902955037,-1.0789722072421437,-18.010698934092446,15.103726204703511,3.706451383335924,4.337050916282996
2025-09-08,5.048340614274126,-0.9774723124078097,-17.58956232939736,14.84333797591437,3.706451383335924,4.337050916282996
2025-09-09,5.071626108663293,-0.9694820871260266,-17.397321035548003,14.655417886136492,3.706451383335924,4.337050916282996
2025-09-10,5.079885644906802,-0.9981881842045577,-16.395856928281674,13.589254583657532,3.706451383335924,4.337050916282996
2025-09-11,5.044079659088026,-0.9907339766019638,-15.666108437130024,12.91200179270462,3.706451383335924,4.337050916282996
2025-09-12,5.059761658057941,-1.0120949855148484,-15.423168817244186,12.813960322734157,3.706451383335924,4.337050916282996
